country,Region,Telephone Code,Population(million),Area in KM2,GDP 2021,GDP 2022,GDP 2023,Cumulative GDP, Agriculture,Renewable Energy, Real Estate, Telecommunications, Financial Services, Infrastructure, Manufacturing, Mining and Natural Resources, Tourism and Hospitality, Information Technology and Startups, Healthcare and Pharmaceuticals, Education and Training, Transportation and Logistics, Water and Sanitation, Retail and Consumer Goods, Agribusiness and Agro-processing, Banking and Microfinance, Oil and Gas, Fisheries and Aquaculture, Media and Entertainment, Food and Beverage Processing, Construction and Building Materials, Automotive Industry, Fashion and Textile Industry, Biotechnology, Aviation, Shipping and Maritime Services, Insurance, Sports and Recreation Facilities
Algeria,Northern Africa,+213,45.60M,2381740,$163.5B,$195.0B,$623.0B,$981.5B,$5.8B,$18.7B,$5.5B,$0.9B,$49.8B,$62.3B,$218.5B,$186.9B,$12.5B,$6.2B,$43.6B,$37.4B,$49.8B,$6.2B,$74.8B,$68.5B,$31.2B,$205.6B,$12.5B,$6.2B,$37.4B,$43.6B,$18.7B,$6.2B,$3.1B,$6.2B,$9.4B,$12.5B,$3.2B
Angola,Middle Africa,+244,35.59M,1246700,$66.5B,$106.8B,$107.8B,$281.1B,$10.8B,$2.2B,$5.4B,$3.2B,$6.5B,$8.6B,$9.7B,$43.1B,$2.3B,$1.6B,$4.3B,$5.4B,$6.5B,$2.1B,$10.9B,$13.0B,$7.5B,$32.3B,$2.2B,$1.2B,$10.8B,$8.6B,$3.2B,$1.2B,$1.1B,$2.2B,$2.2B,$2.2B,$0.5B
Benin,Western Africa,+229,13.35M,114763,$17.7B,$17.4B,$53.0B,$88.1B,$12.7B,$0.5B,$2.7B,$2.1B,$3.2B,$3.7B,$8.0B,$0.5B,$1.3B,$0.8B,$2.7B,$3.2B,$4.8B,$1.1B,$5.3B,$18.6B,$2.1B,$0.5B,$1.6B,$1.2B,$3.7B,$3.2B,$0.5B,$1.2B,$0.3B,$0.5B,$1.1B,$1.1B,$0.3B
Botswana,Southern Africa,+267,2.63M,581730,$18.7B,$20.4B,$47.0B,$86.1B,$8.4B,$1.7B,$4.3B,$5.2B,$8.6B,$6.9B,$10.3B,$17.2B,$6.0B,$0.9B,$4.3B,$5.2B,$7.7B,$0.8B,$6.0B,$3.4B,$7.7B,$0.6B,$0.1B,$2.6B,$4.3B,$4.5B,$2.2B,$1.7B,$0.4B,$3.0B,$0.7B,$3.9B,$1.3B
Burkina Faso,Western Africa,+226,22.67M,274200,$19.6B,$18.8B,$58.0B,$96.5B,$28.9B,$1.5B,$6.8B,$5.9B,$9.6B,$6.3B,$7.7B,$19.3B,$4.8B,$2.9B,$6.8B,$4.8B,$8.7B,$1.9B,$14.5B,$28.9B,$6.8B,$0.9B,$0.7B,$1.9B,$4.9B,$7.7B,$1.0B,$6.3B,$0.7B,$1.4B,$1.9B,$1.7B,$1.8B
Burundi,Eastern Africa,+257,12.89M,27834,$2.8B,$3.4B,$11.0B,$17.2B,$5.2B,$2.6B,$4.6B,$1.8B,$0.9B,$1.9B,$1.2B,$0.3B,$0.2B,$0.6B,$1.2B,$1.3B,$1.4B,$0.5B,$2.1B,$6.9B,$1.0B,$0.6B,$0.1B,$0.3B,$2.1B,$0.9B,$0.2B,$0.3B,$0.1B,$0.3B,$0.4B,$0.2B,$0.2B
Cape Verde,Western Africa,+238,0.59M,4033,$2.0B,$2.2B,$6.0B,$10.2B,$0.7B,$0.4B,$0.8B,$0.6B,$0.4B,$0.6B,$1.0B,$0.2B,$1.6B,$0.1B,$0.5B,$1.1B,$1.3B,$0.3B,$2.0B,$1.7B,$1.4B,$0.2B,$0.5B,$0.4B,$1.0B,$0.6B,$0.3B,$0.2B,$0.1B,$0.4B,$0.8B,$0.3B,$0.3B
Cameroon,Middle Africa,+237,27.91M,475442,$44.9B,$43.6B,$204.6B,$293.1B,$58.6B,$29.3B,$20.5B,$14.7B,$23.5B,$11.7B,$35.2B,$28.0B,$5.9B,$4.4B,$16.1B,$13.2B,$24.4B,$8.7B,$35.2B,$73.3B,$11.0B,$44.0B,$7.3B,$4.4B,$20.5B,$23.4B,$5.9B,$8.8B,$2.5B,$3.8B,$11.7B,$5.9B,$6.0B
Central African Republic,Middle Africa,+236,5.58M,622984,$2.5B,$2.4B,$6.0B,$10.9B,$5.5B,$0.2B,$0.6B,$0.4B,$0.7B,$0.5B,$0.5B,$1.6B,$0.2B,$0.4B,$0.8B,$0.7B,$1.4B,$0.3B,$1.5B,$4.4B,$0.8B,$0.5B,$0.6B,$0.1B,$1.1B,$1.2B,$0.0B,$0.1B,$0.0B,$0.1B,$0.8B,$0.3B,$0.1B
Chad,Middle Africa,+235,17.72M,1284000,$11.8B,$12.7B,$32.0B,$56.5B,$16.0B,$0.6B,$2.8B,$1.7B,$3.1B,$6.2B,$5.1B,$28.2B,$0.3B,$0.9B,$3.7B,$0.1B,$6.8B,$1.4B,$9.6B,$14.1B,$4.8B,$28.2B,$1.4B,$0.6B,$5.3B,$3.3B,$0.3B,$1.6B,$1.0B,$1.4B,$4.5B,$1.7B,$0.5B
