Country,Region,Capital,Political Stability,Tax Rates,International Airport,Ports,Port Type,Climate,Dominant Language
Algeria,Northern Africa,Algiers,Fair,Moderate,Houari Boumediene Airport,Port of Algiers,Sea Port,Moderate,Arabic
Angola,Middle Africa,Luanda,Fair,High,Quatro de Fevereiro International Airport,Port of Luanda,Sea Port,Moderate,Portuguese
Benin,Western Africa,Porto-Novo,Good,Low,Cotonou Cadjehoun Airport,Port of Cotonou,Sea Port,Moderate,French
Botswana,Southern Africa,Gaborone,Good,Low,Sir Seretse Khama International Airport,Gaborone Inland Container Terminal,Inland Port,Hot,English
Burkina Faso,Western Africa,Ouagadougou,Fair,Low,Ouagadougou Airport,Ouagadougou Dry Port,Inland Port,Hot,French
Burundi,Eastern Africa,Bujumbura,Fair,Low,Bujumbura International Airport,Port of Bujumbura,Sea Port,Moderate,English
Cape Verde,Western Africa,Praia,Good,Low,Nelson Mandela International Airport,Port of Praia,Sea Port,Moderate,Portuguese
Cameroon,Middle Africa,Yaoundé,Fair,Moderate,Douala International Airport,Port of Douala,Sea Port,Moderate,French
Central African Republic,Middle Africa,Bangui,Fair,High,Bangui M'Poko International Airport,Port of Bangui,Inland Port,Tropical,French
Chad,Middle Africa,N'Djamena,Fair,High,N'Djamena International Airport,Port of N'Djamena,Inland Port,Hot,French
Comoros,Eastern Africa,Moroni,Good,Low,Prince Said Ibrahim International Airport,Port of Moroni,Sea Port,Tropical,French
Congo (Brazzaville),Middle Africa,Brazzaville,Fair,Moderate,Maya-Maya Airport,Port of Pointe-Noire,Sea Port,Tropical,French
Congo (Kinshasa),Middle Africa,Kinshasa,Fair,High,N'djili Airport,Port of Matadi,Sea Port,Tropical,French
Djibouti,Eastern Africa,Djibouti City,Fair,Moderate,Ambouli International Airport,Doraleh Multipurpose Port,Sea Port,Hot,French
Egypt,Northern Africa,Cairo,Fair,High,Cairo International Airport,Port of Alexandria,Sea Port,Hot,Arabic
